date,c_open,c_high,c_low,n_close,n_adj_close,adj_sum_5,adj_sum_10,adj_sum_15,adj_sum_20,adj_sum_25,adj_sum_30,label,closing_price_for_label
2019-07-29,1.25732,1.25732,-0.447813,-0.752137,-0.752137,0.037892,-0.056838,0.831609,0.852128,0.114466,-1.02859,-1,57.54611320904324
2019-07-30,0.469647,1.148026,-0.104366,-0.981743,-0.981743,1.04366,0.739259,1.614555,1.827198,1.1752,0.217924,-1,56.98115825676707
2019-07-31,2.806394,2.806394,-1.207815,-2.069925,-2.069925,2.536412,2.568384,3.335224,3.808628,3.346141,2.550154,-1,55.80169090026067
2019-08-01,0.751611,1.735863,-0.644238,-0.746004,-0.746004,2.444524,2.93844,3.650462,4.343486,4.083443,3.524505,-1,55.385408303846646
2019-08-02,0.626791,0.626791,-1.504298,-0.071582,-0.071582,1.565186,2.707736,3.279567,4.131638,4.107801,3.54375,0,55.34576234228341
2019-08-05,2.49256,2.49256,-0.130208,-3.724928,-3.724928,3.895089,5.967262,6.589782,7.64625,7.914056,7.417626,-1,53.28417234099491
2019-08-06,0.444774,0.90808,-0.648629,0.372024,0.372024,2.201631,4.927724,5.620213,6.746953,7.231218,6.861907,0,53.48240214881111
2019-08-07,-0.393701,1.368579,-0.693663,-1.148999,-1.148999,2.279715,5.253093,6.266717,7.372138,8.111373,7.947565,-1,52.86788974458089
2019-08-08,-1.701738,0.182983,-1.701738,2.455943,2.455943,-0.622141,2.064044,3.296127,4.331946,5.229116,5.251339,1,54.16629498577701
2019-08-09,0.630798,1.057514,-0.705009,-1.37237,-1.37237,0.040816,2.630798,4.283241,5.257853,6.311847,6.55256,-1,53.42293320646625
2019-08-12,0.807512,1.014085,-0.469484,-1.205937,-1.205937,1.070423,2.980282,5.011581,5.975587,7.155867,7.634736,-1,52.7786863310636
2019-08-13,-1.537891,0.500278,-1.797295,1.352113,1.352113,-0.274226,0.954234,3.180779,4.131925,5.326894,5.963753,1,53.49231363920192
2019-08-14,1.968654,2.006881,-0.152905,-3.057254,-3.057254,2.480887,3.377294,5.696993,6.874044,8.068499,8.929355,-1,51.85691772471826
2019-08-15,0.11409,0.247195,-1.197946,0.516055,0.516055,1.171325,2.220955,4.431768,5.799582,6.969247,7.987754,0,52.12452796527013
2019-08-16,-0.765068,0.205262,-1.082291,1.901502,1.901502,-0.832245,-0.106363,1.87224,3.456802,4.526938,5.633647,1,53.11567700435114
2019-08-19,0.649712,0.92816,-0.204195,0.522486,0.522486,-1.117505,-0.605161,0.824206,2.572861,3.581214,4.749241,0,53.393198735293815
